"location.name","treatment.name","event.type","sample.id","lab.id.x","method","cas.number","analyte","result","units","dilution","result.reported.to","mdl","rl","flag","non.detect","duplicate","method.name","event.count","flow.vol.liter","long","lat","collected","received"
"Kerbel","Inflow","Inflow","K-INF-01-GBH","HS23071021-23","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",3.9,"mg/L",1,"RL",0.1,0.5,NA,FALSE,FALSE,"Hourly Grab","Irrigation 1",NA,NA,NA,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","MT1","Outflow","K-MT1-01-LC","HS23071021-08","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",6.8,"mg/L",1,"RL",0.1,0.5,NA,FALSE,FALSE,"Low-Cost Sampler","Irrigation 1",NA,-104.99798,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","MT1","Outflow","K-MT1-01-LC","HS23071021-08","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",8.79,"mg/L",5,"RL",0.15,0.5,NA,FALSE,FALSE,"Low-Cost Sampler","Irrigation 1",NA,-104.99798,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","MT1","Outflow","K-MT1-01-LC","HS23071021-08","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0.057,"mg/L",1,"RL",0.01,0.05,NA,FALSE,FALSE,"Low-Cost Sampler","Irrigation 1",NA,-104.99798,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","MT1","Outflow","K-MT1-01-GBH-D","HS23071021-24","E160.1 - TDS_W_160.1","TDS","Total Dissolved Solids (Residue, Filterable)",1320,"mg/L",1,"RL",5,10,NA,FALSE,TRUE,"Hourly Grab","Irrigation 1",NA,-104.99798,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","MT1","Outflow","K-MT1-01-GBH-2,3,5-D","HS23071021-28","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",24,"mg/L",1,"RL",0.1,0.5,NA,FALSE,TRUE,"Hourly Grab","Irrigation 1",NA,-104.99798,40.67641,2023-07-18 02:00:00,"18 Jul 2023 13:35"
"Kerbel","MT1","Outflow","K-MT1-01-GBH-2,3,5-D","HS23071021-28","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",8.59,"mg/L",1,"RL",0.03,0.1,"H",FALSE,TRUE,"Hourly Grab","Irrigation 1",NA,-104.99798,40.67641,2023-07-18 02:00:00,"18 Jul 2023 13:35"
"Kerbel","MT1","Outflow","K-MT1-01-GBH-2,3,5-D","HS23071021-28","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,NA,FALSE,TRUE,"Hourly Grab","Irrigation 1",NA,-104.99798,40.67641,2023-07-18 02:00:00,"18 Jul 2023 13:35"
"Kerbel","MT1","Outflow","K-MT1-01-GBH-2,3,5-D","HS23071021-28","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0,"mg/L",1,"RL",0.01,0.05,NA,FALSE,TRUE,"Hourly Grab","Irrigation 1",NA,-104.99798,40.67641,2023-07-18 02:00:00,"18 Jul 2023 13:35"
"Kerbel","MT1","Outflow","K-MT1-01-GBH-2,3,5-D","HS23071021-28","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.834,"mg/L",1,"RL",0.02,0.05,NA,FALSE,TRUE,"Hourly Grab","Irrigation 1",NA,-104.99798,40.67641,2023-07-18 02:00:00,"18 Jul 2023 13:35"
"Kerbel","MT1","Outflow","K-MT1-01-GBH-2,3,5-D","HS23071021-28","E160.1 - TDS_W_160.1","TDS","Total Dissolved Solids (Residue, Filterable)",1270,"mg/L",1,"RL",5,10,NA,FALSE,TRUE,"Hourly Grab","Irrigation 1",NA,-104.99798,40.67641,2023-07-18 02:00:00,"18 Jul 2023 13:35"
"Kerbel","MT1","Outflow","K-MT1-01-LC","HS23071021-08","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",5,"RL",0.15,0.5,NA,FALSE,FALSE,"Low-Cost Sampler","Irrigation 1",NA,-104.99798,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","MT1","Outflow","K-MT1-01-GBH","HS23071021-10","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.314,"mg/L",1,"RL",0.02,0.05,NA,FALSE,FALSE,"Hourly Grab","Irrigation 1",NA,-104.99798,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","MT1","Outflow","K-MT1-01-GBH","HS23071021-10","E160.1 - TDS_W_160.1","TDS","Total Dissolved Solids (Residue, Filterable)",1240,"mg/L",1,"RL",5,10,NA,FALSE,FALSE,"Hourly Grab","Irrigation 1",NA,-104.99798,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
