"SAMPLE.ID","LAB.ID","METHOD","CAS.NUMBER","ANALYTE","RESULT","UNITS","DILUTION","RESULT.REPORTED.TO","MDL","RL","REPORT.BASIS","PERCENT.MOISTURE","PERCENT.SOLID","non.detect","duplicate","location.name","treatment.name","method.name","event.type"
"AVST2-07-OT-2-D","HS22090500-14","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",0.79,"mg/L",1,"RL",0.1,0.5,NA,NA,NA,FALSE,TRUE,"AVRC STAR","ST2","ISCO","Outflow"
"AVST2-07-OT-3-D","HS22090500-15","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.323,"mg/L",1,"RL",0.02,0.05,NA,NA,NA,FALSE,TRUE,"AVRC STAR","ST2","ISCO","Outflow"
"AVST2-07-OT-5-D","HS22090500-16","E200.8 - 200.8","7782-49-2","Selenium",9.66,"µg/L",1,"RL",0.86,2,NA,NA,NA,FALSE,TRUE,"AVRC STAR","ST2","ISCO","Outflow"
"AVCT2-07-OTLC-1","HS22090500-17","E300 - 300_W","ARC-NO3NO2N","Nitrate/Nitrite (as N)",0,"mg/L",1,"RL",0.03,0.2,NA,NA,NA,TRUE,FALSE,"AVRC STAR","CT2","Low-Cost Sampler","Outflow"
"AVCT2-07-OTLC-1","HS22090500-17","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",0.154,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,FALSE,FALSE,"AVRC STAR","CT2","Low-Cost Sampler","Outflow"
"AVCT2-07-OTLC-1","HS22090500-17","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,TRUE,FALSE,"AVRC STAR","CT2","Low-Cost Sampler","Outflow"
"AVCT2-07-OTLC-1","HS22090500-17","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0,"mg/L",1,"RL",0.01,0.05,NA,NA,NA,TRUE,FALSE,"AVRC STAR","CT2","Low-Cost Sampler","Outflow"
"AVCT2-07-OTLC-2","HS22090500-18","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",2.4,"mg/L",1,"RL",0.1,0.5,NA,NA,NA,FALSE,FALSE,"AVRC STAR","CT2","Low-Cost Sampler","Outflow"
"AVCT2-07-OTLC-3","HS22090500-19","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",3.91,"mg/L",5,"RL",0.1,0.25,NA,NA,NA,FALSE,FALSE,"AVRC STAR","CT2","Low-Cost Sampler","Outflow"
"AVCT2-07-OTLC-5","HS22090500-20","E200.8 - 200.8","7782-49-2","Selenium",11.3,"µg/L",1,"RL",0.86,2,NA,NA,NA,FALSE,FALSE,"AVRC STAR","CT2","Low-Cost Sampler","Outflow"
"AVCT2-07-OTLC-1-D","HS22090500-21","E300 - 300_W","ARC-NO3NO2N","Nitrate/Nitrite (as N)",0.281,"mg/L",1,"RL",0.03,0.2,NA,NA,NA,FALSE,TRUE,"AVRC STAR","CT2","Low-Cost Sampler","Outflow"
"AVCT2-07-OTLC-1-D","HS22090500-21","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",0.244,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,FALSE,TRUE,"AVRC STAR","CT2","Low-Cost Sampler","Outflow"
"AVCT2-07-OTLC-1-D","HS22090500-21","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,TRUE,TRUE,"AVRC STAR","CT2","Low-Cost Sampler","Outflow"
"AVCT2-07-OTLC-1-D","HS22090500-21","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0.058,"mg/L",1,"RL",0.01,0.05,NA,NA,NA,FALSE,TRUE,"AVRC STAR","CT2","Low-Cost Sampler","Outflow"
"AVCT2-07-OTLC-2-D","HS22090500-22","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",4.1,"mg/L",1,"RL",0.1,0.5,NA,NA,NA,FALSE,TRUE,"AVRC STAR","CT2","Low-Cost Sampler","Outflow"
"AVCT2-07-OTLC-3-D","HS22090500-23","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",2.9,"mg/L",5,"RL",0.1,0.25,NA,NA,NA,FALSE,TRUE,"AVRC STAR","CT2","Low-Cost Sampler","Outflow"
"AVCT2-07-OTLC-5-D","HS22090500-24","E200.8 - 200.8","7782-49-2","Selenium",12.6,"µg/L",1,"RL",0.86,2,NA,NA,NA,FALSE,TRUE,"AVRC STAR","CT2","Low-Cost Sampler","Outflow"
"AVCT2-07-OT-1","HS22090500-25","E300 - 300_W","ARC-NO3NO2N","Nitrate/Nitrite (as N)",1.02,"mg/L",1,"RL",0.03,0.2,NA,NA,NA,FALSE,FALSE,"AVRC STAR","CT2","ISCO","Outflow"
"AVCT2-07-OT-1","HS22090500-25","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",0.985,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,FALSE,FALSE,"AVRC STAR","CT2","ISCO","Outflow"
"AVCT2-07-OT-1","HS22090500-25","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,TRUE,FALSE,"AVRC STAR","CT2","ISCO","Outflow"
"AVCT2-07-OT-1","HS22090500-25","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0,"mg/L",1,"RL",0.01,0.05,NA,NA,NA,TRUE,FALSE,"AVRC STAR","CT2","ISCO","Outflow"
"AVCT2-07-OT-2","HS22090500-26","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",0.96,"mg/L",1,"RL",0.1,0.5,NA,NA,NA,FALSE,FALSE,"AVRC STAR","CT2","ISCO","Outflow"
"AVCT2-07-OT-3","HS22090500-27","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",1.34,"mg/L",5,"RL",0.1,0.25,NA,NA,NA,FALSE,FALSE,"AVRC STAR","CT2","ISCO","Outflow"
"AVCT2-07-OT-5","HS22090500-28","E200.8 - 200.8","7782-49-2","Selenium",8.93,"µg/L",1,"RL",0.86,2,NA,NA,NA,FALSE,FALSE,"AVRC STAR","CT2","ISCO","Outflow"
"AVCT2-07-OT-1-D","HS22090500-29","E300 - 300_W","ARC-NO3NO2N","Nitrate/Nitrite (as N)",1.04,"mg/L",1,"RL",0.03,0.2,NA,NA,NA,FALSE,TRUE,"AVRC STAR","CT2","ISCO","Outflow"
"AVCT2-07-OT-1-D","HS22090500-29","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",1,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,FALSE,TRUE,"AVRC STAR","CT2","ISCO","Outflow"
"AVCT2-07-OT-1-D","HS22090500-29","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,TRUE,TRUE,"AVRC STAR","CT2","ISCO","Outflow"
"AVCT2-07-OT-1-D","HS22090500-29","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0.058,"mg/L",1,"RL",0.01,0.05,NA,NA,NA,FALSE,TRUE,"AVRC STAR","CT2","ISCO","Outflow"
"AVCT2-07-OT-2-D","HS22090500-30","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",0.77,"mg/L",1,"RL",0.1,0.5,NA,NA,NA,FALSE,TRUE,"AVRC STAR","CT2","ISCO","Outflow"
"AVCT2-07-OT-3-D","HS22090500-31","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",1.94,"mg/L",5,"RL",0.1,0.25,NA,NA,NA,FALSE,TRUE,"AVRC STAR","CT2","ISCO","Outflow"
"AVCT2-07-OT-5-D","HS22090500-32","E200.8 - 200.8","7782-49-2","Selenium",9.72,"µg/L",1,"RL",0.86,2,NA,NA,NA,FALSE,TRUE,"AVRC STAR","CT2","ISCO","Outflow"
"AVCT1-07-OTLC-1","HS22090500-33","E300 - 300_W","ARC-NO3NO2N","Nitrate/Nitrite (as N)",0.986,"mg/L",1,"RL",0.03,0.2,NA,NA,NA,FALSE,FALSE,"AVRC STAR","CT1","Low-Cost Sampler","Outflow"
"AVCT1-07-OTLC-1","HS22090500-33","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",0.948,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,FALSE,FALSE,"AVRC STAR","CT1","Low-Cost Sampler","Outflow"
"AVCT1-07-OTLC-1","HS22090500-33","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,TRUE,FALSE,"AVRC STAR","CT1","Low-Cost Sampler","Outflow"
"AVCT1-07-OTLC-1","HS22090500-33","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0,"mg/L",1,"RL",0.01,0.05,NA,NA,NA,TRUE,FALSE,"AVRC STAR","CT1","Low-Cost Sampler","Outflow"
"AVCT1-07-OTLC-2","HS22090500-34","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",1.2,"mg/L",1,"RL",0.1,0.5,NA,NA,NA,FALSE,FALSE,"AVRC STAR","CT1","Low-Cost Sampler","Outflow"
"AVCT1-07-OTLC-3","HS22090500-35","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.454,"mg/L",1,"RL",0.02,0.05,NA,NA,NA,FALSE,FALSE,"AVRC STAR","CT1","Low-Cost Sampler","Outflow"
"AVCT1-07-OTLC-5","HS22090500-36","E200.8 - 200.8","7782-49-2","Selenium",9.61,"µg/L",1,"RL",0.86,2,NA,NA,NA,FALSE,FALSE,"AVRC STAR","CT1","Low-Cost Sampler","Outflow"
"AVCT1-07-OTLC-1-D","HS22090500-37","E300 - 300_W","ARC-NO3NO2N","Nitrate/Nitrite (as N)",0.961,"mg/L",1,"RL",0.03,0.2,NA,NA,NA,FALSE,TRUE,"AVRC STAR","CT1","Low-Cost Sampler","Outflow"
"AVCT1-07-OTLC-1-D","HS22090500-37","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",0.924,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,FALSE,TRUE,"AVRC STAR","CT1","Low-Cost Sampler","Outflow"
"AVCT1-07-OTLC-1-D","HS22090500-37","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,TRUE,TRUE,"AVRC STAR","CT1","Low-Cost Sampler","Outflow"
"AVCT1-07-OTLC-1-D","HS22090500-37","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0,"mg/L",1,"RL",0.01,0.05,NA,NA,NA,TRUE,TRUE,"AVRC STAR","CT1","Low-Cost Sampler","Outflow"
"AVCT1-07-OTLC-2-D","HS22090500-38","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",1.1,"mg/L",1,"RL",0.1,0.5,NA,NA,NA,FALSE,TRUE,"AVRC STAR","CT1","Low-Cost Sampler","Outflow"
"AVCT1-07-OTLC-3-D","HS22090500-39","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.428,"mg/L",1,"RL",0.02,0.05,NA,NA,NA,FALSE,TRUE,"AVRC STAR","CT1","Low-Cost Sampler","Outflow"
"AVCT1-07-OTLC-5-D","HS22090500-40","E200.8 - 200.8","7782-49-2","Selenium",11.6,"µg/L",1,"RL",0.86,2,NA,NA,NA,FALSE,TRUE,"AVRC STAR","CT1","Low-Cost Sampler","Outflow"
"AV-G4-IN-01","HS22090500-41","E300 - 300_W","ARC-NO3NO2N","Nitrate/Nitrite (as N)",1.25,"mg/L",1,"RL",0.03,0.2,NA,NA,NA,FALSE,FALSE,"AVRC STAR",NA,"Grab Sample","Inflow"
"AV-G4-IN-01","HS22090500-41","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",1.22,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,FALSE,FALSE,"AVRC STAR",NA,"Grab Sample","Inflow"
"AV-G4-IN-01","HS22090500-41","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,TRUE,FALSE,"AVRC STAR",NA,"Grab Sample","Inflow"
"AV-G4-IN-01","HS22090500-41","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0,"mg/L",1,"RL",0.01,0.05,NA,NA,NA,TRUE,FALSE,"AVRC STAR",NA,"Grab Sample","Inflow"
"AV-G4-IN-02","HS22090500-42","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",0.87,"mg/L",1,"RL",0.1,0.5,NA,NA,NA,FALSE,FALSE,"AVRC STAR",NA,"Grab Sample","Inflow"
"AV-G4-IN-03","HS22090500-43","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.302,"mg/L",1,"RL",0.02,0.05,NA,NA,NA,FALSE,FALSE,"AVRC STAR",NA,"Grab Sample","Inflow"
"AV-G4-IN-05","HS22090500-44","E200.8 - 200.8","7782-49-2","Selenium",10.6,"µg/L",1,"RL",0.86,2,NA,NA,NA,FALSE,FALSE,"AVRC STAR",NA,"Grab Sample","Inflow"
"BT-G4-PZE","2207213-1","EPA300.0 [300Nitrate]_W","14797-55-8","NITRATE AS N",4.7,"MG/L",10,"PRL",1.9,2,"As Received",NA,NA,FALSE,FALSE,"Berthoud","Piezometer Eas","Grab Sample","Point Sample"
"BT-G4-PZE","2207213-1","EPA353.2 [353.2NO2NO3]_W","1-005","NITRATE/NITRITE AS N",7.7,"MG/L",10,"PRL",0.095,0.2,"As Received",NA,NA,FALSE,FALSE,"Berthoud","Piezometer Eas","Grab Sample","Point Sample"
"BT-G4-PZE","2207213-1","EPA300.0 [300OPHOS]_W","14265-44-2","ORTHOPHOSPHATE AS P",0,"MG/L",10,"PRL",3.4,7.5,"As Received",NA,NA,TRUE,FALSE,"Berthoud","Piezometer Eas","Grab Sample","Point Sample"
"BT-G4-PZE","2207213-1","EPA200.8 [SE200.8]_W","7782-49-2","SELENIUM",26,"UG/L",10,"PRL",NA,1.5,"As Received",NA,NA,FALSE,FALSE,"Berthoud","Piezometer Eas","Grab Sample","Point Sample"
"BT-G4-PZE","2207213-1","EPA365.2 [365.2TPHOS]_W","7723-14-0","TOTAL PHOSPHORUS",0.083,"MG/L",1,"PRL",0.033,0.05,"As Received",NA,NA,FALSE,FALSE,"Berthoud","Piezometer Eas","Grab Sample","Point Sample"
"HOL-G4-MID","2207213-10","EPA300.0 [300Nitrate]_W","14797-55-8","NITRATE AS N",0,"MG/L",25,"PRL",4.7,5,"As Received",NA,NA,TRUE,FALSE,"Big Hollow","Middle at Bridg","Grab Sample","Point Sample"
"HOL-G4-MID","2207213-10","EPA353.2 [353.2NO2NO3]_W","1-005","NITRATE/NITRITE AS N",0,"MG/L",10,"PRL",0.095,0.2,"As Received",NA,NA,TRUE,FALSE,"Big Hollow","Middle at Bridg","Grab Sample","Point Sample"
"HOL-G4-MID","2207213-10","EPA300.0 [300OPHOS]_W","14265-44-2","ORTHOPHOSPHATE AS P",0,"MG/L",25,"PRL",8.5,19,"As Received",NA,NA,TRUE,FALSE,"Big Hollow","Middle at Bridg","Grab Sample","Point Sample"
"HOL-G4-MID","2207213-10","EPA200.8 [SE200.8]_W","7782-49-2","SELENIUM",0,"UG/L",10,"PRL",NA,1.5,"As Received",NA,NA,TRUE,FALSE,"Big Hollow","Middle at Bridg","Grab Sample","Point Sample"
"HOL-G4-MID","2207213-10","EPA365.2 [365.2TPHOS]_W","7723-14-0","TOTAL PHOSPHORUS",0.21,"MG/L",1,"PRL",0.033,0.05,"As Received",NA,NA,FALSE,FALSE,"Big Hollow","Middle at Bridg","Grab Sample","Point Sample"
"BT-G4-PZW","2207213-2","EPA300.0 [300Nitrate]_W","14797-55-8","NITRATE AS N",0,"MG/L",10,"PRL",1.9,2,"As Received",NA,NA,TRUE,FALSE,"Berthoud","Piezometer Wes","Grab Sample","Point Sample"
"BT-G4-PZW","2207213-2","EPA353.2 [353.2NO2NO3]_W","1-005","NITRATE/NITRITE AS N",0.47,"MG/L",10,"PRL",0.095,0.2,"As Received",NA,NA,FALSE,FALSE,"Berthoud","Piezometer Wes","Grab Sample","Point Sample"
"BT-G4-PZW","2207213-2","EPA300.0 [300OPHOS]_W","14265-44-2","ORTHOPHOSPHATE AS P",0,"MG/L",10,"PRL",3.4,7.5,"As Received",NA,NA,TRUE,FALSE,"Berthoud","Piezometer Wes","Grab Sample","Point Sample"
"BT-G4-PZW","2207213-2","EPA200.8 [SE200.8]_W","7782-49-2","SELENIUM",15,"UG/L",10,"PRL",NA,1.5,"As Received",NA,NA,FALSE,FALSE,"Berthoud","Piezometer Wes","Grab Sample","Point Sample"
"BT-G4-PZW","2207213-2","EPA365.2 [365.2TPHOS]_W","7723-14-0","TOTAL PHOSPHORUS",0,"MG/L",1,"PRL",0.033,0.05,"As Received",NA,NA,TRUE,FALSE,"Berthoud","Piezometer Wes","Grab Sample","Point Sample"
"BT-G4-RVA","2207213-3","EPA300.0 [300Nitrate]_W","14797-55-8","NITRATE AS N",0,"MG/L",10,"PRL",1.9,2,"As Received",NA,NA,TRUE,FALSE,"Berthoud","River ","Grab Sample","Point Sample"
"BT-G4-RVA","2207213-3","EPA353.2 [353.2NO2NO3]_W","1-005","NITRATE/NITRITE AS N",0,"MG/L",10,"PRL",0.095,0.2,"As Received",NA,NA,TRUE,FALSE,"Berthoud","River ","Grab Sample","Point Sample"
"BT-G4-RVA","2207213-3","EPA300.0 [300OPHOS]_W","14265-44-2","ORTHOPHOSPHATE AS P",0,"MG/L",10,"PRL",3.4,7.5,"As Received",NA,NA,TRUE,FALSE,"Berthoud","River ","Grab Sample","Point Sample"
"BT-G4-RVA","2207213-3","EPA200.8 [SE200.8]_W","7782-49-2","SELENIUM",0,"UG/L",10,"PRL",NA,1.5,"As Received",NA,NA,TRUE,FALSE,"Berthoud","River ","Grab Sample","Point Sample"
"BT-G4-RVA","2207213-3","EPA365.2 [365.2TPHOS]_W","7723-14-0","TOTAL PHOSPHORUS",0.1,"MG/L",1,"PRL",0.033,0.05,"As Received",NA,NA,FALSE,FALSE,"Berthoud","River ","Grab Sample","Point Sample"
"BT-G4-RVB","2207213-4","EPA300.0 [300Nitrate]_W","14797-55-8","NITRATE AS N",0,"MG/L",10,"PRL",1.9,2,"As Received",NA,NA,TRUE,FALSE,"Berthoud","River ","Grab Sample","Point Sample"
"BT-G4-RVB","2207213-4","EPA353.2 [353.2NO2NO3]_W","1-005","NITRATE/NITRITE AS N",0,"MG/L",10,"PRL",0.095,0.2,"As Received",NA,NA,TRUE,FALSE,"Berthoud","River ","Grab Sample","Point Sample"
"BT-G4-RVB","2207213-4","EPA300.0 [300OPHOS]_W","14265-44-2","ORTHOPHOSPHATE AS P",0,"MG/L",10,"PRL",3.4,7.5,"As Received",NA,NA,TRUE,FALSE,"Berthoud","River ","Grab Sample","Point Sample"
"BT-G4-RVB","2207213-4","EPA200.8 [SE200.8]_W","7782-49-2","SELENIUM",3.3,"UG/L",10,"PRL",NA,1.5,"As Received",NA,NA,FALSE,FALSE,"Berthoud","River ","Grab Sample","Point Sample"
"BT-G4-RVB","2207213-4","EPA365.2 [365.2TPHOS]_W","7723-14-0","TOTAL PHOSPHORUS",0.11,"MG/L",1,"PRL",0.033,0.05,"As Received",NA,NA,FALSE,FALSE,"Berthoud","River ","Grab Sample","Point Sample"
"BT-G4-RVMID","2207213-5","EPA300.0 [300Nitrate]_W","14797-55-8","NITRATE AS N",0,"MG/L",10,"PRL",1.9,2,"As Received",NA,NA,TRUE,FALSE,"Berthoud","River Middl","Grab Sample","Point Sample"
"BT-G4-RVMID","2207213-5","EPA353.2 [353.2NO2NO3]_W","1-005","NITRATE/NITRITE AS N",0,"MG/L",10,"PRL",0.095,0.2,"As Received",NA,NA,TRUE,FALSE,"Berthoud","River Middl","Grab Sample","Point Sample"
"BT-G4-RVMID","2207213-5","EPA300.0 [300OPHOS]_W","14265-44-2","ORTHOPHOSPHATE AS P",0,"MG/L",10,"PRL",3.4,7.5,"As Received",NA,NA,TRUE,FALSE,"Berthoud","River Middl","Grab Sample","Point Sample"
"BT-G4-RVMID","2207213-5","EPA200.8 [SE200.8]_W","7782-49-2","SELENIUM",0,"UG/L",10,"PRL",NA,1.5,"As Received",NA,NA,TRUE,FALSE,"Berthoud","River Middl","Grab Sample","Point Sample"
